Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Averaged_Sales
99,Call of Duty: World at War,X360,2008.00,Shooter,Activision,4.79,1.9,0,0.69,7.37,1.894601542
100,Battlefield 3,X360,2011.00,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,1.88688946
101,The Legend of Zelda: Twilight Princess,Wii,2006.00,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,1.879177378
102,Call of Duty: Black Ops 3,XOne,2015.00,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,1.876606684
103,Just Dance,Wii,2009.00,Misc,Ubisoft,3.51,3.03,0,0.73,7.27,1.868894602
104,Battlefield 3,PS3,2011.00,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,1.858611825
105,Need for Speed Underground,PS2,2003.00,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,1.850899743
106,Tekken 3,PS,1998.00,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,1.840616967
107,Crash Bandicoot 3: Warped,PS,1998.00,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,1.832904884
108,Super Smash Bros. Melee,GC,2001.00,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,1.81748072
109,Mario Kart 8,WiiU,2014.00,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,1.789203085
110,Fallout 4,PS4,2015.00,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,1.789203085
111,Mario Kart: Double Dash!!,GC,2003.00,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,1.786632391
112,Just Dance 4,Wii,2012.00,Misc,Ubisoft,4.14,2.21,0,0.56,6.91,1.776349614
113,FIFA 14,PS3,2013.00,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,1.77377892
114,Need for Speed Underground 2,PS2,2004.00,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,1.77377892
115,Medal of Honor: Frontline,PS2,2002.00,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,1.755784062
116,Uncharted 3: Drake's Deception,PS3,2011.00,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,1.755784062
117,Crash Bandicoot,PS,1996.00,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,1.753213368
118,Zumba Fitness,Wii,2010.00,Sports,505 Games,3.5,2.64,0,0.67,6.81,1.750642674
119,Gears of War 2,X360,2008.00,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,1.737789203
120,Uncharted 2: Among Thieves,PS3,2009.00,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73,1.730077121
121,Call of Duty 4: Modern Warfare,PS3,2007.00,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,1.727506427
